sample,mRNA,ncRNA,tRNA,mRNA_percent,ncRNA_percent,tRNA_percent,no_feature_percent,general.5_3_bias,status
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,5595891,7228,224,88.65,0.11,0,11.239999999999995,0.2,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,1939839,1504,101,93.15,0.07,0,6.780000000000001,0.62,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_30_none_2,11467624,6373,380,91.28,0.05,0,8.670000000000002,0.3,0
WT_Minimal_HisMetLeuUra_Galactose_2_300_none_1,7674269,5239,163,90.7,0.06,0,9.239999999999995,0.42,0
WT_Minimal_HisMetLeuUra_Galactose_2_90_none_3,5945089,28754,383,86.17,0.42,0,13.409999999999997,0.33,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_7,8852,2,0,88.37,0.02,0,11.61,0.63,1
YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,8262795,5901,294,88.59,0.06,0,11.349999999999994,0.23,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_3,5978362,4838,226,90.53,0.07,0,9.400000000000006,0.26,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_3,3276179,2549,133,89.36,0.07,0,10.570000000000007,0.17,0
WT_YPD_none_Glucose_2_1440_none_19,5178517,4418,132,89.23,0.08,0,10.689999999999998,0.49,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_2,9320941,6834,442,88.02,0.06,0,11.920000000000002,0.3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_2,7821964,18535,777,88.72,0.21,0,11.070000000000007,0.43,0
WT_YPD_none_Glucose_2_1440_none_35,2639376,1830,57,92.69,0.06,0,7.25,0.35,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,2663042,2195,56,92.36,0.08,0,7.560000000000002,0.16,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_4,4997363,9715,233,88.27,0.17,0,11.560000000000002,0.57,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_0.001_-1_1NMPP7_1,9447355,16153,775,87.79,0.15,0,12.059999999999988,0.37,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_180_1NMPP7_3,7985672,47199,366,89.96,0.53,0,9.510000000000005,0.35,0
WT_YPD_none_none_2_1440_none_7,5114519,4066,107,89.98,0.07,0,9.950000000000003,0.53,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_2,4062466,3679,86,88.35,0.08,0,11.570000000000007,0.28,0
YBR033W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,7683053,21927,611,75.89,0.22,0,23.89,0.16,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,4393637,4412,249,84.15,0.08,0,15.769999999999996,0.31,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,2066338,1283,77,93.38,0.06,0,6.560000000000002,0.57,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,1895391,1301,61,93.62,0.06,0,6.319999999999993,0.37,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_1,5406795,7591,245,88.38,0.12,0,11.5,0.47,0
YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,8712381,24019,174,79.05,0.22,0,20.730000000000004,0.22,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,6547873,5246,269,92.65,0.07,0,7.280000000000001,0.38,0
YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,6352246,5564,305,89.49,0.08,0,10.430000000000007,0.2,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,6276006,4294,145,91.84,0.06,0,8.099999999999994,0.35,0
WT_YPD_none_Glucose_2_1440_none_9,6981315,5303,144,88.95,0.07,0,10.980000000000004,0.22,0
YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,9809925,39318,107,79.74,0.32,0,19.940000000000012,0.41,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_60_none_1,11474410,17053,324,87.71,0.13,0,12.16000000000001,0.32,0
YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,5193810,12501,136,77.91,0.19,0,21.900000000000006,0.48,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,5715902,7470,394,82.92,0.11,0,16.97,0.12,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_300_none_3,19474781,12607,380,92.75,0.06,0,7.189999999999998,0.51,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_5,3441397,2919,156,90.28,0.08,0,9.64,0.17,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_2,7074882,4347,214,92.33,0.06,0,7.609999999999999,0.26,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_300_none_2,11537137,7130,258,92.26,0.06,0,7.679999999999993,0.37,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_4,9104824,5629,240,91.25,0.06,0,8.689999999999998,0.27,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,5712274,7338,370,83.75,0.11,0,16.14,0.15,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_6,2684078,2392,177,89.28,0.08,0,10.64,0.15,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_90_none_1,12688998,9524,304,90.64,0.07,0,9.290000000000006,0.28,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_cAMP_2,6868589,24101,510,87.65,0.31,0,12.039999999999992,0.33,0
WT_YPD_none_Glucose_2_1440_none_7,5699656,4873,136,86.18,0.07,0,13.75,0.37,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,2267016,8274,589,81.11,0.3,0,18.590000000000003,0.19,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,7075312,5172,384,91.23,0.07,0,8.700000000000003,0.17,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_90_none_4,7913016,5988,173,89.54,0.07,0,10.39,0.37,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_6,2270775,2135,119,88.29,0.08,0,11.629999999999995,0.14,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,2190654,1345,73,93.08,0.06,0,6.859999999999999,0.27,0
WT_Minimal_HisMetLeuUra_Galactose_2_60_none_3,7277562,32248,521,85.96,0.38,0,13.66000000000001,0.33,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,4916738,3778,160,90.86,0.07,0,9.070000000000007,0.3,0
WT_YPD_none_Glucose_2_1440_none_23,6916165,5299,167,91.56,0.07,0,8.370000000000005,0.47,0
YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,15159175,12816,463,89.37,0.08,0,10.549999999999997,0.27,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_8,3070330,2567,53,85.93,0.07,0,14,0.26,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,6383841,5085,223,88.77,0.07,0,11.16000000000001,0.29,0
WT_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,14937689,31671,664,78.74,0.17,0,21.090000000000003,0.46,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_1,6457832,5782,232,91.86,0.08,0,8.060000000000002,0.41,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,4398919,3607,215,85.38,0.07,0,14.550000000000011,0.43,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_1,4174925,5978,172,88.11,0.13,0,11.760000000000005,0.46,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,6551529,4330,368,88.61,0.06,0,11.329999999999998,0.42,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,5571181,6846,237,90.36,0.11,0,9.530000000000001,0.26,0
YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,3286647,4678,192,80.74,0.11,0,19.150000000000006,0.38,0
WT_YPD_none_Glucose_2_1440_none_27,6788912,31534,791,78.03,0.36,0,21.61,0.23,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_7,7042362,5624,191,86.59,0.07,0,13.340000000000003,0.53,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_60_none_1,5680139,4563,178,91.87,0.07,0,8.060000000000002,0.28,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_60_1NMPP7_1,9841785,21943,1130,87.96,0.2,0,11.840000000000003,0.37,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,7868994,8920,571,90,0.1,0,9.900000000000006,0.37,0
WT_Minimal_HisMetLeuUra_Glucose_2_30_none_1,6535686,7208,324,90.44,0.1,0,9.460000000000008,0.44,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_1,7134946,31548,540,89.38,0.4,0,10.219999999999999,0.3,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_1,8477945,6551,396,89.72,0.07,0,10.210000000000008,0.3,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,2196676,1480,120,93.03,0.06,0,6.909999999999997,0.38,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,5195727,5273,484,89.69,0.09,0,10.219999999999999,0.4,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,6835369,5447,314,91.45,0.07,0,8.480000000000004,0.32,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,15905312,12513,478,89.68,0.07,0,10.25,0.16,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,8224774,4621,213,89.71,0.05,0,10.240000000000009,0.34,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_4,5999579,5017,206,92.32,0.08,0,7.6000000000000085,0.52,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,2440112,2577,80,92.38,0.1,0,7.52000000000001,0.16,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,9170991,6337,277,90.03,0.06,0,9.909999999999997,0.27,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_0.001_-1_1NMPP7_2,9937515,24654,1417,84.87,0.21,0,14.920000000000002,0.25,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_5,2992254,2458,111,89.48,0.07,0,10.450000000000003,0.14,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,12661921,9659,798,91.33,0.07,0,8.600000000000009,0.4,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_300_none_4,11933910,8413,304,90.59,0.06,0,9.349999999999994,0.49,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_3,5352345,6774,224,88.89,0.11,0,11,0.31,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,4944100,4647,269,87.44,0.08,0,12.480000000000004,0.38,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,4770145,4132,251,91.41,0.08,0,8.510000000000005,0.37,0
WT_YPD_none_Glucose_2_1440_none_16,4124746,5829,104,81.91,0.12,0,17.97,0.34,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,3883068,2642,180,89.71,0.06,0,10.230000000000004,0.21,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_7,4252254,3698,188,85.9,0.07,0,14.030000000000001,0.58,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_90_1NMPP7_1,12495716,21949,533,91,0.16,0,8.840000000000003,0.42,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,4938838,3159,277,91.58,0.06,0,8.36,0.42,0
YBR033W_YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,4452530,10353,143,79.4,0.18,0,20.419999999999987,0.44,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_1,11343881,8027,282,89.11,0.06,0,10.829999999999998,0.46,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_60_1NMPP7_4,6886946,40433,660,86.23,0.51,0,13.259999999999991,0.3,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,3206145,2245,100,89.63,0.06,0,10.310000000000002,0.15,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_cAMP_2,7057171,31357,751,88.67,0.39,0,10.939999999999998,0.35,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_1,6842528,6309,292,88.56,0.08,0,11.36,0.2,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_7,4553849,3329,173,87.41,0.06,0,12.530000000000001,0.37,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_2,3163070,2889,53,90.78,0.08,0,9.14,0.55,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_3,6088636,6908,332,90.93,0.1,0,8.969999999999999,0.55,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,3298090,2285,56,92.16,0.06,0,7.780000000000001,0.28,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_4,6479686,6480,120,89.49,0.09,0,10.420000000000002,0.62,0
YBR033W_YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,4331257,9931,71,79.48,0.18,0,20.33999999999999,0.42,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_300_none_1,5624014,4615,337,91.24,0.07,0,8.690000000000012,0.34,0
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,5615190,11055,564,82.74,0.16,0,17.10000000000001,0.22,0
WT_Minimal_HisMetLeuUra_Glucose_2_30_none_3,5551611,4855,201,83.67,0.07,0,16.260000000000005,0.32,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_6,6756269,6781,123,78.48,0.08,0,21.439999999999998,0.54,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,2065282,1324,112,92.85,0.06,0,7.090000000000003,0.3,0
WT_YPD_none_Glucose_2_1440_none_15,4088504,5278,103,81.15,0.1,0,18.75,0.37,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_30_1NMPP7_1,11975407,22430,1151,89.56,0.17,0,10.269999999999996,0.43,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_180_1NMPP7_4,7390044,31564,507,86.5,0.37,0,13.129999999999995,0.35,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_300_1NMPP7_1,10473167,74187,1583,83.85,0.59,0,15.560000000000002,0.39,0
WT_YPD_none_Glucose_2_1440_none_14,12375114,9945,289,90.06,0.07,0,9.870000000000005,0.5,0
WT_YPD_none_Glucose_2_1440_none_13,20805984,16379,465,89.97,0.07,0,9.960000000000008,0.54,0
YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,8531564,7359,565,88.29,0.08,0,11.629999999999995,0.27,0
WT_YPD_none_Glucose_2_1440_none_20,5385534,4791,116,90.72,0.08,0,9.200000000000003,0.45,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,12833149,10198,675,92.44,0.07,0,7.490000000000009,0.41,0
YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_cAMP_3,9675566,26647,3129,84.22,0.23,0,15.549999999999997,0.3,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_3,3583825,2488,77,91.15,0.06,0,8.789999999999992,0.21,0
WT_Minimal_HisMetLeuUra_Galactose_2_90_none_2,12963010,12665,187,86.62,0.08,0,13.299999999999997,0.22,0
WT_YPD_none_Glucose_2_1440_none_11,3665547,2524,75,90.64,0.06,0,9.299999999999997,0.27,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_30_1NMPP7_4,6372760,37802,438,85.97,0.51,0,13.519999999999996,0.29,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,8172830,6573,429,91.8,0.07,0,8.13000000000001,0.47,0
WT_YPD_none_Glucose_2_1440_none_26,6151403,70066,409,83.08,0.95,0,15.969999999999999,0.25,0
YGL209W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,846968,604,28,88.72,0.06,0,11.219999999999999,0.38,1
YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,5862530,7340,350,82.51,0.1,0,17.39,0.16,0
WT_YPD_none_Glucose_2_1440_none_22,6497822,5127,158,89.9,0.07,0,10.030000000000001,0.55,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_90_none_3,6672354,5455,254,91.17,0.07,0,8.760000000000005,0.38,0
YBR033W_YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,3982295,10157,105,79.63,0.2,0,20.17,0.49,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_5,6154432,5641,265,84.89,0.08,0,15.030000000000001,0.46,0
WT_YPD_none_none_2_1440_none_2,5423528,4446,109,86.33,0.07,0,13.600000000000009,0.35,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,5951058,12255,256,90.56,0.19,0,9.25,0.42,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_300_1NMPP7_3,7658302,51861,403,88.41,0.6,0,10.990000000000009,0.31,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,11321043,7990,438,92.28,0.07,0,7.650000000000006,0.39,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,3323593,3301,106,91.91,0.09,0,8,0.45,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_4,5445924,4789,240,92.4,0.08,0,7.519999999999996,0.43,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_2,8848161,7298,291,88.97,0.07,0,10.960000000000008,0.22,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,7384960,9403,235,88.49,0.11,0,11.400000000000006,0.44,0
YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_2,6719989,4562,344,92.21,0.06,0,7.730000000000004,0.27,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_cAMP_1,7730935,30829,1149,87.68,0.35,0,11.969999999999999,0.45,0
WT_YPD_none_Glucose_2_1440_none_8,7850561,6432,218,89.42,0.07,0,10.510000000000005,0.22,0
WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_2,7865073,8764,191,87.43,0.1,0,12.469999999999999,0.34,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_45_1NMPP7_1,10585607,20910,941,88.66,0.18,0,11.159999999999997,0.34,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_4,9628677,16150,967,87.57,0.15,0,12.280000000000001,0.3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_3,6984626,22595,1127,86.18,0.28,0,13.539999999999992,0.34,0
WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_4,9190899,29424,1933,81.3,0.26,0,18.439999999999998,0.19,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_180_1NMPP7_1,9579749,42787,1305,87.79,0.39,0,11.819999999999993,0.45,0
YGL209W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,5769277,4429,149,88.11,0.07,0,11.820000000000007,0.26,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,1623900,991,49,93.17,0.06,0,6.769999999999996,0.25,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,9124160,9633,365,90.26,0.1,0,9.64,0.63,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_90_none_1,5021710,3560,124,92.7,0.07,0,7.230000000000004,0.27,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_4,9508739,22518,1108,88.24,0.21,0,11.550000000000011,0.43,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,4523141,2221,122,92.15,0.05,0,7.799999999999997,0.29,0
YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,926687,8859,1692,54.87,0.52,0,44.61,0.17,3
WT_Minimal_HisMetLeuUra_Glucose_2_30_none_4,4102775,3707,188,84.09,0.08,0,15.829999999999998,0.3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_2,7687289,56545,995,84.55,0.62,0,14.829999999999998,0.35,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_2,11836769,10227,394,90.75,0.08,0,9.170000000000002,0.23,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_8,3112467,2437,62,87.86,0.07,0,12.070000000000007,0.14,0
WT_YPD_none_Glucose_2_1440_none_2,8812031,14573,229,83.79,0.14,0,16.069999999999993,0.87,0
YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,12807835,11602,230,92.52,0.08,0,7.400000000000006,0.33,0
YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,6552735,4429,270,87.6,0.06,0,12.340000000000003,0.19,0
WT_YPD_none_none_2_1440_none_1,2209306,1887,73,83.01,0.07,0,16.92,0.44,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_45_none_2,11620797,7366,351,89.6,0.06,0,10.340000000000003,0.42,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,2349929,2315,136,92.02,0.09,0,7.890000000000001,0.17,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_3,7719964,24483,2231,80.53,0.26,0,19.209999999999994,0.28,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,3472328,2597,220,91.62,0.07,0,8.310000000000002,0.31,0
YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,8470459,6677,370,92.12,0.07,0,7.810000000000002,0.44,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_8,3987456,3944,121,84.6,0.08,0,15.320000000000007,0.29,0
