unmapped_percent,sample,status
1.18,YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
1.08,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
1.4600000000000002,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_30_none_2,0
0.53,WT_Minimal_HisMetLeuUra_Galactose_2_300_none_1,0
0.43,WT_Minimal_HisMetLeuUra_Galactose_2_90_none_3,0
3.28,WT_Minimal_HisMetLeuUra_Glucose_2_180_none_7,0
1.29,YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
0.72,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_3,0
1.3499999999999999,YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_3,0
0.73,WT_YPD_none_Glucose_2_1440_none_19,0
1.07,YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
1.09,YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_2,0
0.71,WT_YPD_none_Glucose_2_1440_none_35,0
1.27,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,0
0.64,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_4,0
0.7,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_0.001_-1_1NMPP7_1,0
0.62,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_180_1NMPP7_3,0
0.8,WT_YPD_none_none_2_1440_none_7,0
0.56,WT_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
2.8,YBR033W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,0
1.28,YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,0
0.79,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
1.05,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
0.52,WT_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
2.58,YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
0.74,YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
1.2000000000000002,YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
1.5999999999999999,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,0
0.77,WT_YPD_none_Glucose_2_1440_none_9,0
1.17,YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,0
1.57,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_60_none_1,0
1.28,YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,0
1.6800000000000002,YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
1.59,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_300_none_3,0
1.38,YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_5,0
1.1400000000000001,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
1.41,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_300_none_2,0
1.51,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_4,0
1.53,YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
1.46,YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_6,0
1.53,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_90_none_1,0
0.96,YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_cAMP_2,0
0.76,WT_YPD_none_Glucose_2_1440_none_7,0
1.73,YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,0
1.11,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,0
1.4500000000000002,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_90_none_4,0
1.52,YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_6,0
1.16,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
0.42,WT_Minimal_HisMetLeuUra_Galactose_2_60_none_3,0
1.4900000000000002,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
0.64,WT_YPD_none_Glucose_2_1440_none_23,0
1.1900000000000002,YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
0.7000000000000001,WT_Minimal_HisMetLeuUra_Glucose_2_180_none_8,0
1.29,YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
0.99,WT_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,0
1.27,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
1.1400000000000001,YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
0.54,WT_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
0.98,YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
0.86,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
1.5299999999999998,YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
0.86,WT_YPD_none_Glucose_2_1440_none_27,0
0.53,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_7,0
0.79,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_60_none_1,0
0.5700000000000001,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_60_1NMPP7_1,0
1.3699999999999999,YGL209W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
0.53,WT_Minimal_HisMetLeuUra_Glucose_2_30_none_1,0
0.8099999999999999,YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_1,0
1.04,YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
1.07,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
1.6700000000000002,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
1.22,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
1.7,YGL209W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
1.11,YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
0.97,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_4,0
1.78,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
1.24,YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
1.53,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_0.001_-1_1NMPP7_2,0
1.56,YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_5,0
1,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,0
1.72,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_300_none_4,0
0.62,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
1.1900000000000002,YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
1.4400000000000002,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
0.93,WT_YPD_none_Glucose_2_1440_none_16,0
1.42,YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,0
0.55,WT_Minimal_HisMetLeuUra_Glucose_2_45_none_7,0
0.44999999999999996,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_90_1NMPP7_1,0
0.86,YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,0
1.49,YBR033W_YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
1.57,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_1,0
1.18,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_60_1NMPP7_4,0
1.6500000000000001,YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,0
0.71,YDR477W_Minimal_HisMetLeuUra_Glucose_2_90_cAMP_2,0
1.15,YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
0.59,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_7,0
0.55,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
1.4000000000000001,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
1.43,YGL209W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,0
0.53,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
1.36,YBR033W_YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,0
1.07,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_300_none_1,0
1.4300000000000002,YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
0.5800000000000001,WT_Minimal_HisMetLeuUra_Glucose_2_30_none_3,0
0.63,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_6,0
1,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
0.8,WT_YPD_none_Glucose_2_1440_none_15,0
0.55,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_30_1NMPP7_1,0
0.76,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_180_1NMPP7_4,0
0.75,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_300_1NMPP7_1,0
0.76,WT_YPD_none_Glucose_2_1440_none_14,0
0.8,WT_YPD_none_Glucose_2_1440_none_13,0
1.1500000000000001,YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,0
0.69,WT_YPD_none_Glucose_2_1440_none_20,0
0.83,YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,0
0.9099999999999999,YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_cAMP_3,0
1.27,YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_3,0
0.8,WT_Minimal_HisMetLeuUra_Galactose_2_90_none_2,0
0.8999999999999999,WT_YPD_none_Glucose_2_1440_none_11,0
1.1300000000000001,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_30_1NMPP7_4,0
1.77,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
1.1400000000000001,WT_YPD_none_Glucose_2_1440_none_26,0
1.97,YGL209W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,0
1.8199999999999998,YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
0.81,WT_YPD_none_Glucose_2_1440_none_22,0
0.69,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_90_none_3,0
1.22,YBR033W_YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,0
0.64,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_5,0
0.5700000000000001,WT_YPD_none_none_2_1440_none_2,0
0.6399999999999999,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
0.6,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_300_1NMPP7_3,0
1.34,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
0.82,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
1.3,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
1.07,YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
0.64,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,0
1.13,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
1.01,YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_cAMP_1,0
0.75,WT_YPD_none_Glucose_2_1440_none_8,0
1.06,WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_2,0
0.6100000000000001,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_45_1NMPP7_1,0
0.87,YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_4,0
1.1,YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_3,0
0.75,WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_4,0
0.6100000000000001,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_180_1NMPP7_1,0
1.48,YGL209W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,0
1.13,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,0
0.6200000000000001,YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,0
0.9099999999999999,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_90_none_1,0
0.7200000000000001,YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_4,0
1.29,YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_4,0
2.3600000000000003,YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
0.63,WT_Minimal_HisMetLeuUra_Glucose_2_30_none_4,0
0.83,YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_2,0
0.79,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_2,0
0.65,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_8,0
0.61,WT_YPD_none_Glucose_2_1440_none_2,0
0.99,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
1.15,YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
0.78,WT_YPD_none_none_2_1440_none_1,0
1.95,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_45_none_2,0
1.9300000000000002,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
1.31,YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_3,0
1.26,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,0
0.71,YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
0.7200000000000001,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_8,0
1.18,YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
3.43,YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,0
0.73,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_45_none_3,0
0.53,WT_YPD_none_none_2_1440_none_4,0
0.64,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
1.32,YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,0
1.3199999999999998,YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
0.51,WT_Minimal_HisMetLeuUra_Galactose_2_45_none_3,0
0.96,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_45_none_2,0
0.71,YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,0
1.33,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_3,0
1.5999999999999999,YGL209W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
1.61,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_0.001_-1_none_3,0
1.5,YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,0
1.1300000000000001,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
1.29,YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
1.17,YBR033W_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,0
0.55,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_180_1NMPP7_2,0
0.91,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_0.001_-1_none_1,0
0.86,YDR477W_Minimal_HisMetLeuUra_Glucose_2_300_cAMP_4,0
1.59,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_90_none_3,0
0.79,WT_YPD_none_Glucose_2_1440_none_6,0
0.97,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_90_none_4,0
1.52,YDR477W_Minimal_HisMetLeuUra_Glucose_2_180_cAMP_1,0
0.8099999999999999,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,0
1.54,YGL209W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,0
1.2400000000000002,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_4,0
0.8999999999999999,YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
1.61,YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_4,0
0.55,WT_Minimal_HisMetLeuUra_Galactose_2_30_none_4,0
1.21,YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
2.84,YBR033W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
3.5999999999999996,YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
1.5799999999999998,YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,0
4.0600000000000005,YBR033W_YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
1.15,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
0.8800000000000001,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_30_none_2,0
1.29,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
0.77,WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_3,0
1.31,YBR033W_YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,0
0.5700000000000001,WT_YPD_none_none_2_1440_none_3,0
0.85,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_45_none_1,0
0.79,YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_cAMP_1,0
1.17,YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
1.42,YBR033W_YKL038W_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
1.36,YGL209W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
4.93,YBR033W_YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,0
1.11,YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
0.65,WT_Minimal_HisMetLeuUra_Glucose_2_45_none_6,0
1.56,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_1,0
0.66,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_90_1NMPP7_4,0
1.5899999999999999,YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_180_none_3,0
1.25,YGL209W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
1.78,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,0
1.4100000000000001,YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_6,0
0.66,WT_Minimal_HisMetLeuUra_Galactose_2_180_none_2,0
1.2200000000000002,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
1.08,YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_1,0
1.19,YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,0
1.3599999999999999,YGL209W_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
1.01,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_4,0
1.48,WT_Minimal_HisMetLeuUra_Galactose_2_30_none_2,0
0.8999999999999999,WT_YPD_none_Glucose_2_1440_none_17,0
0.55,WT_Minimal_HisMetLeuUra_Galactose_2_180_none_3,0
0.9099999999999999,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_8,0
0.53,WT_Minimal_HisMetLeuUra_Galactose_2_90_none_4,0
1.34,YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
0.88,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
1.65,YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
0.62,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,0
1.1700000000000002,YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_3,0
0.7,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_30_none_2,0
1.31,YBR033W_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,0
1.16,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
0.74,WT_YPD_none_Glucose_2_1440_none_12,0
0.8,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_45_1NMPP7_2,0
1.28,YBR033W_YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
0.9099999999999999,WT_YPD_none_Glucose_2_1440_none_25,0
1.46,YGL209W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
0.91,YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
0.77,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_300_1NMPP7_2,0
0.97,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
1.07,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_3,0
